city,lat,lon,category,name,source
Cotonou,6.3477453,2.4034131,hotel,Arcada Marina,OSM
Cotonou,6.3496093,2.3865502,atm,Ecobank,OSM
Cotonou,6.3568711,2.404173,hotel,Chant d'oiseau,OSM
Cotonou,6.3584067,2.4315012,pharmacy,Pharmacie Jonquet,OSM
Cotonou,6.3595055,2.4196446,restaurant,Costa Rica,OSM
Cotonou,6.359374,2.419832,atm,Bank of Africa,OSM
Cotonou,6.3712804,2.4119822,restaurant,Chez Ornella,OSM
Cotonou,6.3595945,2.420098,atm,Ecobank,OSM
Cotonou,6.3608751,2.4136701,school,EPP Saint Jean I,OSM
Cotonou,6.3611731,2.4150454,driving_school,Le Junior,OSM
Cotonou,6.3618625,2.4150801,driving_school,Auto école AS-SALLAM,OSM
Cotonou,6.3605048,2.4154696,restaurant,Bar Restaurant Attieke,OSM
Cotonou,6.3569322,2.3996475,restaurant,Restaurant Hai King,OSM
Cotonou,6.3781996,2.3902366,pharmacy,Pharmacie Marché Vedoko,OSM
Cotonou,6.3589357,2.4365802,hotel,Hôtel Vickinfel,OSM
Cotonou,6.3533983,2.3883454,restaurant,Le Macumba,OSM
Cotonou,6.3869186,2.3854563,school,Ecolle maternelle les bourgillons,OSM
Cotonou,6.3850208,2.3832363,restaurant,Restaurant viande de porc Le projet,OSM
Cotonou,6.3847451,2.3830465,school,Ecole primaire privée la Fraternité,OSM
Cotonou,6.3851039,2.3869449,school,École primaire privée,OSM
Cotonou,6.3846252,2.3817853,hotel,Hôtel Peace and Love,OSM
Cotonou,6.383941,2.3824323,hotel,Hôtel chez Clarisse,OSM
Cotonou,6.3537235,2.3884971,hotel,Hôtel Best western plus,OSM
Cotonou,6.3799358,2.3825173,hotel,Hôtel Calos,OSM
Cotonou,6.3552315,2.4369115,restaurant,La Gerbe d'Or,OSM
Cotonou,6.3591093,2.4450372,hotel,Hôtel du lac,OSM
Cotonou,6.3569121,2.4008066,pharmacy,Pharmacie,OSM
Cotonou,6.3733765,2.4472293,school,Centre d'Etude et de Documentation,OSM
Cotonou,6.3575087,2.4638263,hotel,El Dorado Beach Club,OSM
Cotonou,6.3885506,2.373739,hotel,Résidence Jeanne d'Arc,OSM
Cotonou,6.3838508,2.3768588,hotel,Pantagruel,OSM
Cotonou,6.3561527,2.418456,pharmacy,Pharmacie Camp Guezo,OSM
Cotonou,6.3817438,2.3795598,pharmacy,Pharmacie de l’amitie,OSM
Cotonou,6.3589863,2.4363023,pharmacy,pharmacie Vogue,OSM
Cotonou,6.366164,2.4206788,pharmacy,Pharmacie Adéchina,OSM
Cotonou,6.3617048,2.4344736,pharmacy,pharmacie atinkanmey,OSM
Cotonou,6.3664602,2.42935,pharmacy,pharmacie saint michel,OSM
Cotonou,6.3674063,2.4241742,pharmacy,pharmacie forum santé,OSM
